HG01286 chr2 121610000 121613000
22e6320c-7bf8-4bfa-86cd-d929779e6084 [42932, None, None, None]
8e0c7d41-5dca-42e6-ad51-674a418a748a [35855, None, None, None]
e192ff91-8dba-4703-b7b0-0fae3dfb15dc [34428, None, None, None]
5d1bb266-9c4c-4ad2-aa20-69c18f2c7e16 [18328, None, None, None]
62dde248-3cdf-4313-90b1-f2d0cc1d395d [17824, None, None, None]
de33cc72-cef1-4508-8c52-c20cc1ce927e [13309, None, None, None]
6beeb9d6-d6c4-4996-b4cb-ea9d36839f28 [13285, None, None, None]
35a2ea7e-ac47-4059-9696-e509bf58d1c1 [7355, None, None, None]
9740c246-7a3e-4cce-9906-0810e6841cc4 [5220, None, None, None]
8fec1c40-b0ea-4cee-9c1c-b1fcf09371d1 [3160, None, None, None]
3bf913bf-f6dc-4773-a719-6a34ef085f46 [2529, None, None, None]
29fec97b-41c9-40ee-b93e-897d9f4419ed [2053, None, None, None]
8d37c869-eed3-45d1-a888-1f334834063f [710, None, None, None]
d19e6597-e159-464a-99c0-d202bc82cae7 [705, None, None, None]
d0acd8d5-7b69-4168-b163-f2cec7ead166 [681, None, None, None]
95d50cf5-0f99-40dc-830d-b4a6e73aaab8 [517, None, None, None]
c007f55a-dc7b-4a34-8153-d711abdd8e2e [440, None, None, None]
HG01286 chr2 238776000 238778000
ae523a97-9014-42b8-8f53-f5e75eb238c7 [37366, None, None, None]
8a4ff7c7-5a39-484b-8f54-6b2526ae3727 [36128, None, None, None]
ce100235-7ee1-4c5f-b5c8-4f60431ad3f7 [36066, None, None, None]
46b5b65f-af0e-42b8-bcb5-6d8966371b9b [27439, None, None, None]
b8eac4ab-2a66-43bf-8f3b-7c06179e3301 [24294, None, None, None]
d5c93151-1c96-40a2-8cff-f7ce750e22d6 [20349, None, None, None]
702adf22-4b39-4531-8fc7-2d9a767760dc [12574, None, None, None]
918c6db5-448b-4fc9-b750-e70b1d67db02 [8346, None, None, None]
3f0986ad-f412-44af-9b96-4caba46a85b3 [6591, None, None, None]
9ccfe900-51df-4edd-997e-90199432920b [5304, None, None, None]
a259f9ec-0ec6-4fad-90d9-cabdf62b50f2 [4760, None, None, None]
c4fd5f90-2422-4565-8ed3-2fb6507deb22 [4292, None, None, None]
558758ac-8770-47fb-84d2-d6560f213263 [3595, None, None, None]
e05fe6f1-aeaf-41cb-a015-0d3017eb0176 [2660, None, None, None]
7cacfa83-b7a5-4ed7-851b-4fc28ef9be0d [1755, None, None, None]
efe55b44-3ca1-408e-b4db-ebb749b1290f [201, None, None, None]
HG01286 chr9 20972000 20976000
3828a297-0b35-46a2-b270-8fe6e4f2582d [40541, None, None, None]
85b86b96-85e9-4ec7-b0c4-b1ac772327bd [38832, None, None, None]
92971c1f-870d-4592-ac11-0b891e26ac68 [34836, None, None, None]
e171d06a-4b19-4dc6-941a-e9f00e6e0e02 [34579, None, None, None]
ae1efb4b-f9c6-4e69-b112-a28d037c63bf [31818, None, None, None]
6a52cc19-9b7f-48d2-9566-5abfe21e45fe [19606, None, None, None]
b90971e6-811f-4bde-8c8a-16263cff8a57 [17996, None, None, None]
5e088ba5-662e-4a41-84df-28aa45787817 [17015, None, None, None]
02778592-5f7a-4755-826f-52fe2186e3ff [16367, None, None, None]
2203c9cf-b047-4197-a194-ef39825c4200 [16347, None, None, None]
56862fe9-3b3d-42f5-8481-7f4873e14a9d [10374, None, None, None]
bba1a218-6cdd-4782-a79f-5eab534c4e71 [14603, None, None, None]
acc001cf-dceb-420d-96df-797ffab28596 [8233, None, None, None]
4a4b958e-7097-4872-9b42-d95d213f8db3 [9467, None, None, None]
eed974b7-edd8-4cb8-b1d7-3e865c41b300 [6321, None, None, None]
49130b2f-b8cb-4a9c-976b-fca14bef2dd5 [6232, None, None, None]
f5e5e798-18d0-4cb8-a95c-b169c35fb0d8 [6038, None, None, None]
